trope_name,character,movie,movie_id,actor
hitman_with_a_heart,Wesley Gibson,Wanted,/m/02vb_l5,James McAvoy
hitman_with_a_heart,Vincent,Collateral,/m/0jwkz6,Tom Cruise
jerk_jock,Austin,Not Another Teen Movie,/m/0k1cs5,Eric Christian Olsen
jerk_jock,Johnny Lawrence,The Karate Kid,/m/0k5jyf,William Zabka
jerk_jock,Gaston,Beauty and the Beast,/m/0jv4jc,Richard White
jerk_jock,Jim,Edward Scissorhands,/m/0jxqwd,Anthony Michael Hall
jerk_jock,Biff Tannen,Back to the Future,/m/0jty60,Thomas F. Wilson
jerk_jock,Kurt Kelly,Heathers,/m/0h5slxp,Lance Fenton
jerk_jock,Bo,Cursed,/m/0jwwhw,Milo Ventimiglia
jerk_jock,Mike Dexter,Can't Hardly Wait,/m/03jsnmf,Peter Facinelli
jerk_jock,Garth,Alpha and Omega,/m/0d2jcym,Chris Carmack
junkie_prophet,Agatha,Minority Report,/m/0k0pgt,Samantha Morton
junkie_prophet,Cassie Holmes,Push,/m/040kc5w,Dakota Fanning
klutz,Mia Thermopolis,The Princess Diaries,/m/02vbfh2,Anne Hathaway
klutz,Seymour Krelborn,Little Shop of Horrors,/m/0k020r,Rick Moranis
loser_protagonist,Paul Blart,Paul Blart: Mall Cop,/m/059sm0m,Kevin James
loser_protagonist,Sidney Young,How to Lose Friends & Alienate People,/m/040l_q8,Simon Pegg
loser_protagonist,Dennis,"Run, Fat Boy, Run",/m/03lvx8n,Simon Pegg
loser_protagonist,Mark Bellison,The Invention of Lying,/m/062xh9l,Ricky Gervais
loser_protagonist,Dewey Finn,School of Rock,/m/0k2zjf,Jack Black
loser_protagonist,Rob Gordon,High Fidelity,/m/02vb_jp,John Cusack
loveable_rogue,Han Solo,Star Wars Episode IV: A New Hope,/m/0k3r1_,Harrison Ford
loveable_rogue,Captain Jack Sparrow,Pirates of the Caribbean: Dead Man's Chest,/m/0k1xxm,Johnny Depp
loveable_rogue,Peter Blood,Captain Blood,/m/02vb_m3,Errol Flynn
loveable_rogue,Capt. Louis Renault,Casablanca,/m/05286qg,Claude Rains
loveable_rogue,Abu,The Thief of Bagdad,/m/0k6nkk,Sabu Dastagir
loveable_rogue,Eames,Inception,/m/07lkzl3,Tom Hardy
loveable_rogue,Rodney Skinner,The League of Extraordinary Gentlemen,/m/0k5ns5,Tony Curran
loveable_rogue,Harold Hill,The Music Man,/m/04hv61w,Matthew Broderick
loveable_rogue,Wolverine,X-Men,/m/0k86q4,Hugh Jackman
master_swordsman,Qui-Gon Jinn,Star Wars Episode I: The Phantom Menace,/m/0k3qyf,Liam Neeson
master_swordsman,Obi-Wan Kenobi,Star Wars Episode I: The Phantom Menace,/m/0k3qy3,Ewan McGregor
master_swordsman,Darth Vader,Star Wars Episode V: The Empire Strikes Back,/m/02nwtmm,James Earl Jones
master_swordsman,Inigo Montoya,The Princess Bride,/m/0k65z5,Mandy Patinkin
master_swordsman,Bill,Kill Bill Volume 1,/m/0j_fvv,David Carradine
master_swordsman,Archibald Cunningham,Rob Roy,/m/0k2ltj,Tim Roth
master_swordsman,Madmartigan,Willow,/m/0k8378,Val Kilmer
master_swordsman,Nameless,Hero,/m/0jzcr5,Jet Li
master_swordsman,Broken Sword,Hero,/m/0jzcrb,Tony Leung Chiu Wai
master_swordsman,Aragorn,The Lord of the Rings: The Return of the King,/m/0k5scp,Viggo Mortensen
master_swordsman,Blade,Blade,/m/0jvh78,Wesley Snipes
master_swordsman,He-Man,Masters of the Universe,/m/0k0h9d,Dolph Lundgren
morally_bankrupt_banker,Mr. Perkins,Despicable Me,/m/06zzgw6,Will Arnett
morally_bankrupt_banker,Patrick Bateman,American Psycho,/m/0jtfcj,Christian Bale
morally_bankrupt_banker,Henry F. Potter,It's a Wonderful Life,/m/0j_11c,Lionel Barrymore
officer_and_a_gentleman,Norrington,Pirates of the Caribbean: Dead Man's Chest,/m/0k1xyd,Jack Davenport
officer_and_a_gentleman,Col. Robert Gould Shaw,Glory,/m/0jyts_,Matthew Broderick
officer_and_a_gentleman,Jack Aubrey,Master and Commander: The Far Side of the World,/m/0k0h66,Russell Crowe
officer_and_a_gentleman,Captain Nicholls,War Horse,/m/0gkcn1g,Tom Hiddleston
ophelia,Elisabeth Burrows,Don't Say a Word,/m/0jxfnl,Brittany Murphy
ophelia,Crazy Cora,Quigley Down Under,/m/02tb5g1,Laura San Giacomo
ophelia,Justine,Melancholia,/m/0gkj0cn,Kirsten Dunst
ophelia,Gina Montana,Scarface,/m/0k2ysf,Mary Elizabeth Mastrantonio
ophelia,Jane Olsen,The Cabinet of Dr. Caligari,/m/08cqh60,Lil Dagover
playful_hacker,Kevin Flynn,Tron,/m/0k7cbl,Jeff Bridges
playful_hacker,Sam Flynn,Tron: Legacy,/m/062y97x,Garrett Hedlund
playful_hacker,Riley Poole,National Treasure,/m/0k14vc,Justin Bartha
playful_hacker,David Lightman,WarGames,/m/0k7w8p,Matthew Broderick
playful_hacker,Mr. Universe,Serenity,/m/0k31lb,David Krumholtz
prima_donna,Lina Lamont,Singin' in the Rain,/m/0k3b2r,Jean Hagen
prima_donna,Sharpay Evans,High School Musical,/m/0jzdz2,Ashley Tisdale
prima_donna,Sharpay Evans,High School Musical 2,/m/02vc3dx,Ashley Tisdale
prima_donna,Sharpay Evans,High School Musical 3: Senior Year,/m/03lyytc,Ashley Tisdale
prima_donna,Margo Channing,All About Eve,/m/0jt8y2,Bette Davis
prima_donna,Norma Desmond,Sunset Boulevard,/m/0k3ybb,Gloria Swanson
psycho_for_hire,Gaear Grimsrud,Fargo,/m/0jy2x0,Peter Stormare
psycho_for_hire,Harlen Maguire,Road to Perdition,/m/0k2ljt,Jude Law
psycho_for_hire,Mr. Blonde,Reservoir Dogs,/m/0k2ggy,Michael Madsen
psycho_for_hire,Red Grant,From Russia with Love,/m/04p7pxj,Robert Shaw
psycho_for_hire,Anton Chigurh,No Country for Old Men,/m/03lgvz6,Javier Bardem
psycho_for_hire,Jackson Rippner,Red Eye,/m/0k2dm9,Cillian Murphy
psycho_for_hire,Staff Sergeant Robert Barnes,Platoon,/m/0k1yyt,Tom Berenger
psycho_for_hire,George Higgins,8mm,/m/03jsz47,Chris Bauer
psycho_for_hire,Major Arnold Toht,Indiana Jones and the Raiders of the Lost Ark,/m/02nwzyz,Ronald Lacey
psycho_for_hire,Mortimer Brewster,Arsenic and Old Lace,/m/0jtr3s,Cary Grant
psycho_for_hire,Col. Paul Tanner,My Fellow Americans,/m/04q604c,Everett McGill
psycho_for_hire,Bullet Tooth Tony,Snatch,/m/0k3gbw,Vinnie Jones
psycho_for_hire,Waingro,Heat,/m/03jrl1d,Kevin Gage
psycho_for_hire,Jack Wilson,Shane,/m/0k34x6,Jack Palance
psycho_for_hire,Isaacs,Hanna,/m/0gh94vc,Tom Hollander
psycho_for_hire,Frank,Once Upon a Time in the West,/m/0k1j4j,Henry Fonda
pupil_turned_to_evil,Count Dooku,Star Wars Episode II: Attack of the Clones,/m/0k3q_8,Christopher Lee
pupil_turned_to_evil,Aaron Hallam,The Hunted,/m/03ls4jv,Benicio del Toro
retired_outlaw,William Munny,Unforgiven,/m/0k7l31,Clint Eastwood
retired_outlaw,Ned Logan,Unforgiven,/m/04xg29q,Morgan Freeman
retired_outlaw,Butch Cassidy,Butch Cassidy and the Sundance Kid,/m/04ky2tz,Paul Newman
retired_outlaw,The Sundance Kid,Butch Cassidy and the Sundance Kid,/m/0jvzx9,Robert Redford
retired_outlaw,Patrick Floyd 'Pat' Garrett,Young Guns II,/m/03jsysn,William Petersen
retired_outlaw,Roy O'Bannon,Shanghai Noon,/m/0k34yw,Owen Wilson
revenge,Inigo Montoya,The Princess Bride,/m/0k65z5,Mandy Patinkin
revenge,Khan Noonien Singh,Star Trek II: The Wrath of Khan,/m/02h8fyx,Ricardo Montalbán
revenge,Col. Douglas Mortimer,For a Few Dollars More,/m/0jybsw,Lee Van Cleef
revenge,Leonard,Memento,/m/0k0l33,Guy Pearce
revenge,Harmonica,Once Upon a Time in the West,/m/0k1j46,Charles Bronson
revenge,Conan the Barbarian,Conan the Destroyer,/m/0jwmfk,Arnold Schwarzenegger
romantic_runnerup,Lon Hammond Jr.,The Notebook,/m/04lsjwd,James Marsden
romantic_runnerup,Prince Edward,Enchanted,/m/0jxvm9,James Marsden
romantic_runnerup,James Norrington,Pirates of the Caribbean: At World's End,/m/0k1xw3,Jack Davenport
romantic_runnerup,Julian Mercer,Something's Gotta Give,/m/0k3jn6,Keanu Reeves
romantic_runnerup,Michael Grates,Reality Bites,/m/0k2ct2,Ben Stiller
romantic_runnerup,Proteus,Sinbad: Legend of the Seven Seas,/m/02vc177,Joseph Fiennes
self_made_man,George Kittredge,The Philadelphia Story,/m/0h6f8kc,John Howard
self_made_man,Roger Callaway,It Takes Two,/m/0j_0s0,Steve Guttenberg
self_made_man,"Daniel ""Rudy"" Ruettiger",Rudy,/m/02tb8j3,Sean Astin
slacker,Brodie Bruce,Mallrats,/m/07ldy8x,Jason Lee
slacker,Dale Denton,Pineapple Express,/m/02t9zmj,Seth Rogen
slacker,Ben Stone,Knocked Up,/m/0j_ks0,Seth Rogen
slacker,Shaun,Shaun of the Dead,/m/0k35n0,Simon Pegg
slacker,Kumar Patel,Harold & Kumar Go to White Castle,/m/0jz5zx,Kal Penn
slacker,Kumar Patel,Harold & Kumar Escape from Guantanamo Bay,/m/02vdfc2,Kal Penn
slacker,Romy White,Romy and Michele's High School Reunion,/m/0k2p5c,Mira Sorvino
slacker,Michele Weinberger,Romy and Michele's High School Reunion,/m/0k2p5j,Lisa Kudrow
slacker,John Winger,Stripes,/m/0k3w4y,Bill Murray
slacker,Dewey Finn,School of Rock,/m/0k2zjf,Jack Black
slacker,Aram Finklestein,The Rebound,/m/064yxrp,Justin Bartha
stoner,Jay,Dogma,/m/0jxdkm,Jason Mewes
stoner,"Bill S. Preston, Esq.",Bill & Ted's Excellent Adventure,/m/0jvcqm,Alex Winter
stoner,"Ted ""Theodore"" Logan",Bill & Ted's Excellent Adventure,/m/0jvcqg,Keanu Reeves
stoner,Jeff Spicoli,Fast Times at Ridgemont High,/m/0jy30b,Sean Penn
stoner,Luke Shapiro,The Wackness,/m/040lm10,Josh Peck
stoner,Kumar Patel,Harold & Kumar Go to White Castle,/m/0jz5zx,Kal Penn
stoner,Harold Lee,Harold & Kumar Go to White Castle,/m/0jz5zr,John Cho
stoner,Dale Denton,Pineapple Express,/m/02t9zmj,Seth Rogen
stoner,Red,Pineapple Express,/m/04zk2_k,Danny McBride
stoner,Saul Silver,Pineapple Express,/m/02vb3yc,James Franco
stoner,Thadeous,Your Highness,/m/07zm_ym,Danny McBride
stoner,Fabious,Your Highness,/m/07zm_zv,James Franco
stoner,Marty Mikalski,The Cabin in the Woods,/m/083z84s,Fran Kranz
storyteller,Dilios,300,/m/0jsg_x,David Wenham
storyteller,Ed Bloom - Young,Big Fish,/m/0jvbkh,Ewan McGregor
storyteller,Garth McCann,Secondhand Lions,/m/0k309k,Michael Caine
storyteller,Wendy Darling,Peter Pan,/m/0k1vn1,Rachel Hurd-Wood
stupid_crooks,Sol,Snatch,/m/03jtd2p,Lennie James
stupid_crooks,Vinny,Snatch,/m/03lsltz,Robbie Gee
stupid_crooks,Tyrone,Snatch,/m/09hy0ym,Ade
stupid_crooks,Jerry Lundegaard,Fargo,/m/0jy2wd,William H. Macy
stupid_crooks,Vincent Vega,Pulp Fiction,/m/01xlj4l,John Travolta
surfer_dude,"Ted ""Theodore"" Logan",Bill & Ted's Excellent Adventure,/m/0jvcqg,Keanu Reeves
surfer_dude,"Bill S. Preston, Esq.",Bill & Ted's Excellent Adventure,/m/0jvcqm,Alex Winter
surfer_dude,Jeff Spicoli,Fast Times at Ridgemont High,/m/0jy30b,Sean Penn
surfer_dude,Chicken Joe,Surf's Up,/m/02_wz7y,Jon Heder
surfer_dude,Geek,Surf's Up,/m/02_wz9s,Jeff Bridges
surfer_dude,Stoney Brown,Encino Man,/m/0jxvpr,Pauly Shore
surfer_dude,Crawl,Son in Law,/m/02tb5qh,Pauly Shore
surfer_dude,Bud Macintosh,Bio-Dome,/m/02vcwzp,Pauly Shore
surfer_dude,Lance B. Johnson,Apocalypse Now,/m/02vd4sl,Sam Bottoms
the_chief,Dreyfus,The Pink Panther,/m/0k63xm,Kevin Kline
the_chief,Lt. Andrew Bogomil,Beverly Hills Cop,/m/045xnnw,Ronny Cox
the_chief,The Chief,Dirty Harry,/m/0cg54hp,John Larch
the_editor,Ben Bradlee,All the President's Men,/m/0jt9_0,Jason Robards
the_editor,Walter Burns,His Girl Friday,/m/0jzg14,Cary Grant
tranquil_fury,Eric Draven,The Crow,/m/0k4td6,Brandon Lee
tranquil_fury,John Preston,Equilibrium,/m/0jxwq8,Christian Bale
tranquil_fury,Ethan Hunt,Mission: Impossible,/m/0k0qpl,Tom Cruise
tranquil_fury,Inigo Montoya,The Princess Bride,/m/0k65z5,Mandy Patinkin
tranquil_fury,David Sumner,Straw Dogs,/m/0k3v65,Dustin Hoffman
tranquil_fury,Max Cady,Cape Fear,/m/0jw22y,Robert De Niro
tranquil_fury,Driver,Drive,/m/0g4vml8,Ryan Gosling
trickster,Han Solo,Star Wars Episode V: The Empire Strikes Back,/m/01xpntj,Harrison Ford
trickster,Captain Jack Sparrow,Pirates of the Caribbean: Dead Man's Chest,/m/0k1xxm,Johnny Depp
trickster,Tyler Durden,Fight Club,/m/0jy5tj,Brad Pitt
trickster,Mr. Nick,The Imaginarium of Dr. Parnassus,/m/03kz4l5,Tom Waits
trickster,Loki,Thor,/m/0855mjk,Tom Hiddleston
valley_girl,Julie Richman,Valley Girl,/m/03jprhz,Deborah Foreman
valley_girl,Cher Horowitz,Clueless,/m/0jwjsy,Alicia Silverstone
valley_girl,Romy White,Romy and Michele's High School Reunion,/m/0k2p5c,Mira Sorvino
valley_girl,Buffy Summers,Buffy the Vampire Slayer,/m/0jvy0r,Kristy Swanson
valley_girl,Elle Woods,Legally Blonde,/m/0j_wm4,Reese Witherspoon
valley_girl,Karen,White Chicks,/m/045xr4n,Busy Philipps
warrior_poet,Katsumoto,The Last Samurai,/m/0k5n1r,Ken Watanabe
warrior_poet,Arthur Burns,The Proposition,/m/0k66rt,Danny Huston
warrior_poet,Zohan,You Don't Mess with the Zohan,/m/03hqx35,Adam Sandler
warrior_poet,Broken Sword,Hero,/m/0jzcrb,Tony Leung Chiu Wai
warrior_poet,Colonel Walter E. Kurtz,Apocalypse Now,/m/0jtp23,Marlon Brando
warrior_poet,Master Li Mu Bai,"Crouching Tiger, Hidden Dragon",/m/0jwt__,Chow Yun-Fat
warrior_poet,Tool,The Expendables,/m/05tb1tv,Mickey Rourke
warrior_poet,T. E. Lawrence,Lawrence of Arabia,/m/0j_tdt,Peter O'Toole
warrior_poet,Horton the Elephant,Horton Hears a Who!,/m/05tgl99,Jim Carrey
young_gun,Chico,The Magnificent Seven,/m/0k5tn5,Horst Buchholz
young_gun,Morgan Earp,Tombstone,/m/0k776f,Bill Paxton
young_gun,Colorado Ryan,Rio Bravo,/m/0k2kqg,Ricky Nelson
young_gun,Tom Sawyer,The League of Extraordinary Gentlemen,/m/0k5nsh,Shane West
young_gun,William H. 'Billy the Kid' Bonney,Young Guns II,/m/03lrjk0,Emilio Estevez
young_gun,Jake,Silverado,/m/0k39jj,Kevin Costner
